Price,Close,High,Low,Open,Volume
Ticker,AMD,AMD,AMD,AMD,AMD
Date,,,,,
2025-06-24,138.42999267578125,138.7899932861328,132.92999267578125,133.42999267578125,78572000
2025-06-25,143.39999389648438,144.17999267578125,139.4600067138672,140.94000244140625,74607200
2025-06-26,143.67999267578125,146.0,141.91000366210938,145.97000122070312,58180100
2025-06-27,143.80999755859375,147.75,141.6300048828125,144.17999267578125,61824800
2025-06-30,141.89999389648438,144.10000610351562,141.00999450683594,144.0,42611877
